State,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,Students_with_disabilities,Limited_English_proficient,Economically_disadvantaged,Homeless_enrolled,Foster_care
Alabama,72,75,80,86,89,87,89,90,92,70,76,87,81,66
Alaska,68,70,72,71,76,76,78,79,80,60,72,75,56,49
Arizona,78,76,75,76,77,80,78,79,78,69,50,74,57,45
Arkansas,81,84,85,87,85,87,88,89,88,83,83,85,76,68
California,76,79,80,81,82,83,83,83,85,68,69,81,70,56
Colorado,74,75,77,77,77,79,79,81,81,59,69,71,56,27
Connecticut,83,85,86,87,87,87,88,88,89,68,71,80,66,50
Delaware,78,80,80,87,86,86,87,87,89,73,76,82,73,74
District of Columbia,59,59,62,61,69,69,73,69,69,51,51,59,49,45
Florida,71,75,76,76,78,81,82,86,87,81,75,83,74,51
Georgia,67,70,72,73,79,79,81,82,82,63,59,77,64,39
Hawaii,80,81,82,82,82,83,83,85,85,63,70,81,63,44
Idaho,,,,77,79,80,80,81,81,56,74,73,57,39
Illinois,84,82,83,86,86,86,87,87,86,70,72,78,67,54
Indiana,86,86,87,88,87,87,84,88,87,71,76,83,77,57
Iowa,88,89,90,91,91,91,91,91,92,76,79,85,75,72
Kansas,83,85,86,86,86,86,87,87,87,78,82,80,66,57
Kentucky,,,86,88,88,89,90,90,91,76,74,88,16,
Louisiana,71,72,74,75,78,79,78,81,80,65,41,74,66,53
Maine,84,85,86,87,88,87,87,87,87,73,80,78,62,48
Maryland,83,84,85,86,87,88,88,87,87,64,54,78,65,48
Massachusetts,83,85,85,86,87,88,88,88,88,74,65,79,61,58
Michigan,74,76,77,79,80,80,80,81,81,58,73,71,58,44
Minnesota,77,78,80,81,82,82,83,83,84,63,67,71,49,
Mississippi,75,75,76,78,81,82,83,84,85,42,66,82,70,60
Missouri,81,84,86,87,88,89,88,89,90,77,73,83,76,71
Montana,82,84,84,85,86,86,86,86,87,78,65,78,71,87
Nebraska,86,88,89,90,89,89,89,89,88,69,49,81,60,51
Nevada,62,63,71,70,71,74,81,83,84,67,77,81,86,44
New Hampshire,86,86,87,88,88,88,89,89,88,72,65,77,64,39
New Jersey,83,86,88,89,90,90,91,91,91,79,75,84,75,58
New Mexico,63,70,70,69,69,71,71,74,75,65,73,70,52,38
New York,77,77,77,78,79,80,82,82,83,59,34,76,59,54
North Carolina,78,80,83,84,86,86,87,86,87,70,71,82,70,59
North Dakota,86,87,88,87,87,88,87,88,88,73,72,77,61,65
Ohio,80,81,82,82,81,84,84,82,82,48,65,71,54,52
Oklahoma,,,85,83,83,82,83,82,85,79,69,79,72,70
Oregon,68,68,69,72,74,75,77,79,80,63,60,74,55,
Pennsylvania,83,84,86,85,85,86,87,86,87,71,69,80,70,53
Rhode Island,77,77,80,81,83,83,84,84,84,64,69,77,65,50
South Carolina,74,75,78,80,80,83,84,81,81,54,79,84,67,52
South Dakota,83,83,83,83,84,84,84,84,84,72,73,75,59,47
Tennessee,86,87,86,87,88,89,90,90,91,74,72,84,78,61
Texas,86,88,88,88,89,89,90,90,90,78,78,87,80,63
Utah,76,80,83,84,85,85,86,87,87,72,73,77,,
Vermont,87,88,87,88,88,88,89,85,85,71,63,76,68,
Virginia,82,83,85,85,86,87,87,88,88,63,56,80,61,50
Washington,76,77,76,78,78,80,79,87,81,62,63,72,56,46
West Virginia,78,79,81,85,87,90,89,90,91,79,92,80,78,
Wisconsin,87,88,88,89,88,88,89,90,90,70,75,81,68,53
Wyoming,80,79,77,79,79,80,86,82,82,59,67,72,65,
